d.in	d.out	r
1.9745508982035929	33.85179640718563	r.391
1.9401197604790419	33.88622754491018	r.392
1.8847305389221556	33.941616766467064	r.393
1.7994011976047903	34.02694610778443	r.394
1.8667664670658684	33.959580838323355	r.395
1.9176646706586826	33.90868263473054	r.396
1.8323353293413174	33.9940119760479	r.397
1.9520958083832336	33.874251497005986	r.398
1.811377245508982	34.01497005988024	r.399
1.8967065868263473	33.92964071856287	r.400
2.052395209580838	33.77395209580838	r.401
2.0479041916167664	33.778443113772454	r.402
1.8847305389221556	33.941616766467064	r.403
1.9775449101796407	33.84880239520958	r.404
1.9625748502994012	33.86377245508982	r.405
1.971556886227545	33.854790419161674	r.406
1.8517964071856288	33.974550898203596	r.407
1.971556886227545	33.854790419161674	r.408
1.9116766467065869	33.91467065868263	r.409
1.8158682634730539	34.01047904191617	r.410
1.9625748502994012	33.86377245508982	r.411
2.004491017964072	33.82185628742515	r.412
2.019461077844311	33.80688622754491	r.413
1.968562874251497	33.85778443113772	r.414
1.8682634730538923	33.958083832335326	r.415
1.8577844311377245	33.968562874251496	r.416
1.970059880239521	33.8562874251497	r.417
1.7694610778443114	34.05688622754491	r.418
1.9176646706586826	33.90868263473054	r.419
1.971556886227545	33.854790419161674	r.420
1.8682634730538923	33.958083832335326	r.421
1.9775449101796407	33.84880239520958	r.422
1.9281437125748504	33.89820359281437	r.423
1.937125748502994	33.88922155688623	r.424
1.9116766467065869	33.91467065868263	r.425
1.9970059880239521	33.82934131736527	r.426
1.9326347305389222	33.8937125748503	r.427
1.9251497005988023	33.90119760479042	r.428
1.9191616766467066	33.90718562874252	r.429
1.9116766467065869	33.91467065868263	r.430
1.9535928143712575	33.872754491017965	r.431
2.070359281437126	33.7559880239521	r.432
1.970059880239521	33.8562874251497	r.433
1.9266467065868262	33.8997005988024	r.434
1.9940119760479043	33.83233532934132	r.435
1.8937125748502994	33.93263473053892	r.436
1.908682634730539	33.91766467065868	r.437
1.8293413173652695	33.99700598802395	r.438
1.875748502994012	33.95059880239521	r.439
2.1377245508982035	33.68862275449102	r.440
1.9895209580838322	33.83682634730539	r.441
1.9446107784431137	33.881736526946106	r.442
1.7889221556886228	34.037425149700596	r.443
1.9535928143712575	33.872754491017965	r.444
1.968562874251497	33.85778443113772	r.445
1.841317365269461	33.98502994011976	r.446
1.8862275449101797	33.94011976047904	r.447
2.019461077844311	33.80688622754491	r.448
1.902694610778443	33.92365269461078	r.449
1.998502994011976	33.82784431137725	r.450
2.0074850299401197	33.8188622754491	r.451
1.8158682634730539	34.01047904191617	r.452
1.8562874251497006	33.97005988023952	r.453
